Open;High;Low;Close;Volume
1.39380;1.39610;1.39210;1.39490;6983
1.39500;1.39860;1.39340;1.39620;11353
1.39630;1.39770;1.39090;1.39150;12266
1.39140;1.39280;1.38620;1.38800;14179
1.38800;1.38840;1.38610;1.38610;4636
1.38620;1.38860;1.38520;1.38630;7189
1.38630;1.38930;1.38580;1.38840;6262
1.38840;1.39140;1.38750;1.38970;11819
1.38980;1.39340;1.38920;1.39220;11759
1.39220;1.39230;1.38940;1.39160;10861
1.39160;1.39370;1.39110;1.39310;5413
1.39310;1.39310;1.39060;1.39090;5040
1.39090;1.39360;1.38860;1.39330;8227
1.39330;1.39540;1.39110;1.39360;11727
1.39380;1.39570;1.39310;1.39490;11507
1.39490;1.39730;1.39260;1.39660;11221
1.39660;1.39720;1.39570;1.39670;5150
1.39680;1.39750;1.39460;1.39570;5325
1.39570;1.39740;1.39480;1.39700;5423
1.39700;1.40240;1.39700;1.39940;11187
1.39950;1.40120;1.39390;1.39520;11938
1.39510;1.39510;1.39010;1.39060;11560
1.39050;1.39080;1.38850;1.38900;6451
1.38890;1.39000;1.38650;1.38880;6896
1.38880;1.38950;1.38650;1.38760;5917
1.38750;1.38850;1.38250;1.38480;11124
1.38480;1.38540;1.38020;1.38040;12172
1.38040;1.38110;1.37280;1.37560;14006
1.37560;1.37630;1.37140;1.37270;6794
1.37270;1.37440;1.36690;1.37130;8583
1.37120;1.37220;1.37020;1.37150;8042
1.37160;1.37250;1.36480;1.36860;13943
1.36850;1.37410;1.36660;1.36710;15884
1.36710;1.36810;1.35860;1.35880;15533
1.35870;1.36770;1.35870;1.36760;7684
1.36550;1.36650;1.36210;1.36330;8152
1.36320;1.36450;1.36220;1.36290;6892
1.36290;1.37120;1.36280;1.36920;11640
1.36930;1.36930;1.36400;1.36570;11859
1.36570;1.37100;1.36570;1.36750;10894
1.36760;1.36870;1.36420;1.36560;5939
1.36550;1.36830;1.36490;1.36720;7197
1.36720;1.37270;1.36620;1.37230;8380
1.37230;1.37430;1.37060;1.37150;11354
1.37140;1.37710;1.36970;1.37420;12558
1.37430;1.38380;1.36930;1.37750;16674
1.37740;1.38000;1.37690;1.37930;7293
1.37940;1.38060;1.37620;1.37660;7388
1.37660;1.37700;1.37330;1.37680;7772
1.37680;1.38050;1.37510;1.37910;11897
1.37920;1.38110;1.37230;1.37360;13686
1.37350;1.37560;1.36770;1.37330;13717
1.37320;1.37410;1.37250;1.37340;5206
1.37330;1.37890;1.37320;1.37820;6982
1.37830;1.38000;1.37740;1.37760;6165
1.37760;1.37900;1.37420;1.37520;9799
1.37510;1.37510;1.36410;1.36530;14885
